lincs_condition,source,split,valid_only_spearman,zero_smiles_spearman,valid_minus_zero
all_cell_lincs,GSE70138,drug_group_4fold,0.7122775228817722,0.6057997897530832,0.1064777331286889
all_cell_lincs,GSE70138,random_4fold,0.9126542420587028,0.7987995952638253,0.1138546467948775
all_cell_lincs,GSE70138,scaffold_group_4fold,0.7060637634478363,0.5630640487652285,0.1429997146826077
gse70138_yapc_only,GSE70138,drug_group_4fold,0.6409766872554439,0.5535776653485596,0.0873990219068843
gse70138_yapc_only,GSE70138,random_4fold,0.9110021673903512,0.7972555352075167,0.1137466321828346
gse70138_yapc_only,GSE70138,scaffold_group_4fold,0.6298134019846726,0.5443059853164065,0.0855074166682661
cmap2020_yapc_only,CMap/LINCS2020,drug_group_4fold,0.6886517158135038,0.6099512909555209,0.0787004248579829
cmap2020_yapc_only,CMap/LINCS2020,random_4fold,0.9052430530868688,0.8132941781934185,0.0919488748934502
cmap2020_yapc_only,CMap/LINCS2020,scaffold_group_4fold,0.6529549740564397,0.5735118247115648,0.0794431493448748
no_lincs,none,drug_group_4fold,0.4988797633374033,0.4957559518166755,0.0031238115207277
no_lincs,none,random_4fold,0.9106518808763724,0.7960436924120027,0.1146081884643697
no_lincs,none,scaffold_group_4fold,0.4589660493196331,0.4633882549324007,-0.0044222056127675
